Date,Actual_Close,Actual_Next_Close,Predicted_Next_Close,Prediction_Error_Absolute,Prediction_Error_Percentage,Actual_Direction,Predicted_Direction,Direction_Correct
2018-10-18,29148.79205858151,29214.82273270381,29057.855,156.9672639538112,0.5372863816082583,1,0,0
2018-10-19,29214.82273270381,28844.186943330405,29057.201,213.01422854459452,0.7384996809343224,0,0,1
2018-10-22,28844.186943330405,29288.78532631883,29019.334,269.4513419438299,0.9199812793250309,1,1,1
2018-10-23,29288.78532631883,28903.87917245346,29058.414,154.53489004653966,0.5346510380994725,0,0,1
2018-10-24,28903.87917245346,28934.16443930461,28984.082,49.91759194538827,0.17252128379273135,1,1,1
2018-10-25,28934.16443930461,29014.08629290741,28918.328,95.7581679074101,0.33004026713334245,1,0,0
2018-10-26,29014.08629290741,28788.280832964632,28940.7,152.41838578536772,0.5294459459727022,0,0,1
2018-10-29,28788.280832964632,28926.626175174784,28864.883,61.743362674784294,0.21344819925032693,1,1,1
2018-10-30,28926.626175174784,28706.083573915595,28899.473,193.38908233440452,0.6736867529715258,0,0,1
2018-10-31,28706.083573915595,29434.175546189337,28860.107,574.0681243143372,1.9503455206804945,1,1,1
2018-11-01,29434.175546189337,29011.95849097742,29113.041,101.0825246475797,0.34841675607324435,0,0,1
2018-11-02,29011.95849097742,28825.89995810169,28963.46,137.56097939830943,0.4772131298528534,0,0,1
2018-11-05,28825.89995810169,28667.557931840427,28783.285,115.72722440957295,0.40368706914179553,0,0,1
2018-11-06,28667.557931840427,28869.64281131048,28818.488,51.15453006048119,0.1771914200491597,1,1,1
2018-11-07,28869.64281131048,28457.751195292298,28830.54,372.7878672077022,1.3099695216583793,0,0,1
2018-11-08,28457.751195292298,28275.476785478048,28494.809,219.33180827195247,0.7756962329441558,0,1,0
2018-11-09,28275.476785478048,27989.866394937864,28221.719,231.85235506213576,0.8283439148679455,0,0,1
2018-11-12,27989.866394937864,28214.676242472226,28161.752,52.92428934722557,0.18757716336137634,1,1,1
2018-11-13,28214.676242472226,28174.71211368196,28224.639,49.926558193041274,0.17720343686775908,0,1,0
2018-11-14,28174.71211368196,28230.51774898113,28115.275,115.24235835612853,0.4082190747645348,1,0,0
2018-11-15,28230.51774898113,28217.228685951897,28226.047,8.818189048102795,0.03125108119669094,0,0,1
2018-11-16,28217.228685951897,28224.49823808222,28181.94,42.55878495721845,0.1507866839588154,1,0,0
2018-11-19,28224.49823808222,28096.5737489753,28175.28,78.70554789969901,0.28012507362243577,0,0,1
2018-11-20,28096.5737489753,28144.928032390904,28179.559,34.630561359095736,0.1230437019389098,1,1,1
2018-11-21,28144.928032390904,27807.03084683482,28058.492,251.46134066518061,0.9043084896415815,0,0,1
2018-11-23,27807.03084683482,27724.080130830767,27761.188,37.1073691692327,0.1338452673420431,0,0,1
2018-11-26,27724.080130830767,27574.1088807954,27693.703,119.59424420459982,0.43371934419209424,0,0,1
2018-11-27,27574.1088807954,27833.81129140952,27683.91,149.9011351595218,0.5385577044771676,1,1,1
2018-11-28,27833.81129140952,27785.14343082664,27820.646,35.503053548360185,0.12777711094689112,0,0,1
2018-11-29,27785.14343082664,27429.85258538192,27655.82,225.9677271180808,0.8238021929381599,0,0,1
2018-11-30,27429.85258538192,27674.355793889845,27610.867,63.48860638984479,0.22941313200816144,1,1,1
2018-12-03,27674.355793889845,28125.129900809712,27745.8,379.3291195597121,1.3487195291097709,1,1,1
2018-12-04,28125.129900809712,28210.39886779428,28106.652,103.7465240442798,0.36775986234891384,1,0,0
2018-12-06,28210.39886779428,28360.528317075423,28291.65,68.87792645042282,0.2428654561027783,1,1,1
2018-12-07,28360.528317075423,28535.92379053622,28413.24,122.68355616122062,0.4299267024322091,1,1,1
2018-12-10,28535.92379053622,29039.645157807783,28665.748,373.8971109327831,1.287540219244913,1,1,1
2018-12-11,29039.645157807783,29054.09378246613,28999.215,54.878938716130506,0.18888539125336418,1,0,0
2018-12-12,29054.09378246613,28826.617663932808,28897.0,70.38233606719223,0.24415745505673034,0,0,1
2018-12-13,28826.617663932808,28454.579513752804,28716.43,261.8501737471961,0.9202391257289092,0,0,1
2018-12-14,28454.579513752804,28839.39339017256,28589.031,250.36214017256134,0.8681255419813229,1,1,1
2018-12-17,28839.39339017256,28752.48336536052,28657.11,95.37399036052011,0.3317069664856208,0,0,1
2018-12-18,28752.48336536052,28408.62308196652,28681.197,272.57418365847843,0.9594769266783136,0,0,1
2018-12-19,28408.62308196652,28716.467305839,28634.703,81.76418083899989,0.2847292460043459,1,1,1
2018-12-20,28716.467305839,28338.358385359443,28500.99,162.63184901555724,0.5738929785699174,0,0,1
2018-12-21,28338.358385359443,28582.80114407641,28486.76,96.0413784514094,0.3360110787158218,1,1,1
2018-12-24,28582.80114407641,28661.941053165127,28602.656,59.284803165126505,0.206841550107018,1,1,1
2018-12-26,28661.941053165127,28807.904965241112,28739.713,68.19207461611222,0.2367130643425513,1,1,1
2018-12-27,28807.904965241112,28800.70306949698,28801.426,0.7227117530201213,0.0025093545503948136,0,0,1
2018-12-28,28800.70306949698,28736.95970361648,28740.568,3.60865575851858,0.012557541910268396,0,0,1
2018-12-31,28736.95970361648,28710.137262600005,28800.871,90.73383114999524,0.31603412522932095,0,1,0
2019-01-02,28710.137262600005,29056.02187641523,28736.094,319.9281264152305,1.1010733946167492,1,1,1
2019-01-03,29056.02187641523,28991.553279301694,29006.357,14.804142573306308,0.05106364060829958,0,0,1
2019-01-04,28991.553279301694,28763.5931936318,28928.264,164.6704782431989,0.5724962007864045,0,0,1
2019-01-07,28763.5931936318,28800.698402468053,28774.627,26.071449343053246,0.09052367056772162,1,1,1
2019-01-08,28800.698402468053,29153.16360866157,28840.77,312.394077411569,1.0715615005115773,1,1,1
2019-01-09,29153.16360866157,29140.222218549443,29039.078,101.14409354944291,0.3470944483225623,0,0,1
2019-01-10,29140.222218549443,29264.802912516992,29114.719,150.08416251699236,0.5128487041776698,1,0,0
