Date,Close,High,Low,Open,Volume
2021-09-08,42252.57300085416,42252.57300085416,42040.21293642303,42040.21293642303,69
2021-09-09,42641.00566223499,42671.84475397164,42415.6303710984,42671.84475397164,49
2021-09-10,42311.542036091494,42311.542036091494,42311.542036091494,42311.542036091494,0
2021-09-13,42360.39133794683,42454.9457828976,42171.28244804528,42308.38754745296,533
2021-09-14,42670.17563196193,42705.64150727621,42157.10379023686,42355.71326924087,764
2021-09-15,42442.747236672345,42710.32139904803,42442.747236672345,42710.32139904803,59
2021-09-16,41427.62561464914,42331.922950766726,41174.99049700904,42331.922950766726,1645
2021-09-17,41376.224396173595,41697.88647104106,41376.224396173595,41598.55063034409,581
2021-09-20,41743.81869491602,41743.81869491602,41485.55519718628,41506.88023687317,185
2021-09-21,42059.08515336379,42059.08515336379,41656.49255899037,41732.27353805822,106
2021-09-22,42152.03669606528,42332.34828727607,41921.90628069761,42152.03669606528,17
2021-09-23,41510.20202095877,41963.854784294585,41284.564365630875,41963.854784294585,31
2021-09-24,41538.06946332722,41538.06946332722,41426.49210509455,41538.06946332722,76
2021-09-27,41529.945383759274,41634.36411153254,41470.6168903539,41570.28760051529,808
2021-09-28,41199.883812227374,41339.92027047618,40986.265340122605,41290.07653979559,15748
2021-09-29,41047.53980220033,41586.414851513444,41045.1559788817,41307.440578256785,6634
2021-09-30,41943.03055049416,42062.50593756116,41207.06099940959,41230.956076822986,997
2021-10-01,41945.46655834065,42079.15670556175,41742.54312877555,41881.00969346357,2220
2021-10-04,42107.00802084291,42171.37899174585,41708.87360946143,42066.480413772326,417
2021-10-05,42187.66195967783,42300.349561336334,41933.51999957042,42300.349561336334,98
2021-10-06,42203.80820979944,42261.343097655124,41825.039547233326,42175.04222904458,56
2021-10-07,42252.70712516451,42360.86866986135,42130.1246279887,42360.86866986135,336
2021-10-08,42253.776551980205,42823.95955788368,42203.25155361006,42270.61626022564,254
2021-10-11,42481.28211929785,42558.760300134134,42423.174222543246,42529.70487401163,128
2021-10-12,42625.58866068069,42860.739725458625,42419.5274120006,42470.4360698166,139
2021-10-13,43530.654840289244,43550.07093570126,42732.219019253884,42732.219019253884,150
2021-10-14,43500.866978922524,43578.3456699752,43387.07393818591,43391.91506334114,337
2021-10-15,42609.75904529567,43289.703793546985,42595.29276199089,43268.00289694349,874
2021-10-18,42558.075568315464,42685.88306900955,42430.26512390116,42480.90594280713,266
2021-10-19,42806.871841285145,43176.96126176416,42753.65771998216,42997.96374497868,51
2021-10-20,43089.00026797851,43125.2277783683,42845.06895432771,42859.559368843155,127
2021-10-21,42840.913882474,42949.14660072907,42836.1047138406,42860.15642900839,146
2021-10-22,43217.30028876575,43491.696433795994,42940.497752803174,43015.11350094314,532
2021-10-25,43544.52708802369,43616.86018949881,43255.1946821232,43262.42916956729,140
2021-10-26,43279.295054447146,43667.98300884507,43180.31359746444,43667.98300884507,359
2021-10-27,43288.6514150269,43293.46570751358,43134.55584678289,43134.55584678289,543
2021-10-28,43471.05133461203,43608.589178683986,43323.86419238867,43323.86419238867,452
2021-10-29,42877.332949173484,43214.00297793873,42675.330344808404,43120.21573996248,583
2021-11-01,43243.971881687336,43243.971881687336,43041.61523052164,43060.88841279446,142
2021-11-02,43033.209462399944,43196.80756916096,43009.151090041734,43076.51570736993,213
2021-11-03,42362.491714689524,42468.18234769331,42319.25663676912,42468.18234769331,108
2021-11-04,42909.303782350355,43033.7467742563,42507.25224931949,42516.825461312445,103
2021-11-05,43494.18238215184,43510.942899394155,42979.359155633814,42979.359155633814,239
2021-11-08,43588.95977646252,43588.95977646252,43338.50335119263,43340.88806813246,261
2021-11-09,43495.34333383562,43554.756710098125,43269.572504038115,43397.90597697387,170
2021-11-10,44061.10420223103,44476.05565219856,43519.76141851923,43541.224976657664,795
2021-11-11,44570.96747987724,44649.91035925412,44348.49713640874,44348.49713640874,292
2021-11-12,44633.67524708005,44633.67524708005,44148.603361512396,44464.02055441825,210
2021-11-15,44601.401394199245,44620.52325229099,44563.16059560167,44563.16059560167,87
2021-11-16,44359.31532301894,44359.31532301894,44359.31532301894,44359.31532301894,1
2021-11-17,44758.74099589914,44758.74099589914,44588.77470364513,44588.77470364513,2
2021-11-18,44431.5263236556,44431.5263236556,44431.5263236556,44431.5263236556,9
2021-11-19,44146.71940094486,44146.71940094486,44146.71940094486,44146.71940094486,21
2021-11-22,43143.244444265016,43993.68655329822,43136.07662591672,43993.68655329822,14
2021-11-23,42678.68592800764,42965.842771930314,42678.68592800764,42965.842771930314,264
2021-11-24,42702.907212582555,42915.93166297448,42638.28316351086,42915.93166297448,188
2021-11-26,42765.38159042769,42911.501445068454,42765.38159042769,42904.314024310275,186800
2021-11-29,42966.1630622198,43366.341055999925,42889.01843731487,43192.76785703875,26926
2021-11-30,42798.22852454903,43630.73805568451,42679.987451288056,43046.77602659468,4903
2021-12-01,42988.98428074488,43203.736758785606,42764.58238880379,42824.90595311375,1128
2021-12-02,42465.99541915267,42953.19723749676,42463.584126546215,42953.19723749676,1557
2021-12-03,42960.01814118051,43034.751590905034,42586.34794971682,42610.4557040048,694
